id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
103245,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/104/103245/review.shtml
194485,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/195/194485/review.shtml
194494,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/195/194494/review.shtml
131524,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/132/131524/review.shtml
401973,8.7,8.5,8.0,8.4,9.0,None,None,None,None,9.0,性价比高、运行流畅、外观漂亮、续航出色、系统流畅、价格便宜、性能好、续航一般、摄像效果一般、游戏运行不够流畅、性价比低、性能差,http://detail.zol.com.cn/402/401973/review.shtml
1238173,5.1,6.7,7.5,7.5,6.7,None,None,None,None,8.3,系统强悍、外观漂亮,http://detail.zol.com.cn/1239/1238173/review.shtml
144290,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/145/144290/review.shtml
112770,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/113/112770/review.shtml
354886,6.4,7.6,7.2,8,8.4,None,None,None,None,9.4,外观漂亮、屏幕大、硬件配置强悍、性价比高、手感舒适、屏幕效果好、系统流畅、价格高、续航一般、外观不是很满意、电池容量小、扬声器声音小、音质一般,http://detail.zol.com.cn/355/354886/review.shtml
1138896,6.0,2.0,8.1,7.0,5.9,None,None,None,None,5.8,电池容量大、屏幕大、性价比高、价格合理、系统强悍、屏幕显示出色、手感舒适、听筒声音小、信号差、电池表现差、通话效果一般,http://detail.zol.com.cn/1139/1138896/review.shtml
194485,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/195/194485/review.shtml
194494,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/195/194494/review.shtml
39707,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/40/39707/review.shtml
39758,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/40/39758/review.shtml
1102029,7.6,2.0,5.7,7.7,8.4,None,None,None,None,7.3,屏幕大、性价比高,http://detail.zol.com.cn/1103/1102029/review.shtml
1102112,8.7,8.5,8.0,8.4,9.0,None,None,None,None,9.0,性价比高、外观漂亮、运行流畅、价格便宜、续航出色、系统流畅、机身轻薄、续航一般、摄像效果一般、游戏运行不够流畅、性价比低、性能差,http://detail.zol.com.cn/1103/1102112/review.shtml
1180174,6.3,7.9,5.5,6.3,6.3,None,None,None,None,8.5,外观漂亮、手感舒适、屏幕大,http://detail.zol.com.cn/1181/1180174/review.shtml
1145444,6.5,9.5,7.1,7.9,8.4,None,None,None,None,8.3,外观漂亮、性能好、电池容量大、摄像效果出色、处理器不错、屏幕效果好、运行流畅、续航一般、电池容量小、价格高,http://detail.zol.com.cn/1146/1145444/review.shtml
1174433,4.9,4.9,5.9,5.9,5.4,None,None,None,None,6.7,电池容量大、手感舒适,http://detail.zol.com.cn/1175/1174433/review.shtml
1174540,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1175/1174540/review.shtml
1176179,6.3,5.5,6.3,6.3,6.3,None,None,None,None,7.7,电池容量大、运行流畅、续航出色、系统强悍、软件不错、性能差、价格高,http://detail.zol.com.cn/1177/1176179/review.shtml
1238173,5.1,6.7,7.5,7.5,6.7,None,None,None,None,8.3,系统强悍、外观漂亮,http://detail.zol.com.cn/1239/1238173/review.shtml
1263526,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1264/1263526/review.shtml
244775,6.1,4.5,4.5,6.1,4.5,None,None,None,None,6.5,价格便宜,http://detail.zol.com.cn/245/244775/review.shtml
381665,6,5.7,4.6,6.3,5.9,None,None,None,None,7.1,外观漂亮、运行流畅、性价比高、屏幕效果好、价格便宜、屏幕大、手感舒适、电池容量小、续航一般、电池表现差、发热量大温度高、运行内存小、系统不足,http://detail.zol.com.cn/382/381665/review.shtml
232508,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/233/232508/review.shtml
111954,None,None,None,None,None,None,None,None,None,8.0,屏幕材质质量好、配置低,http://detail.zol.com.cn/112/111954/review.shtml
354886,6.4,7.6,7.2,8,8.4,None,None,None,None,9.4,外观漂亮、屏幕大、硬件配置强悍、性价比高、手感舒适、屏幕效果好、系统流畅、价格高、续航一般、外观不是很满意、电池容量小、扬声器声音小、音质一般,http://detail.zol.com.cn/355/354886/review.shtml
112557,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/113/112557/review.shtml
385931,4.7,4.3,3.9,4.7,3.5,None,None,None,None,5.2,手感舒适、性价比高、外观漂亮、分辨率低、续航一般、运行内存小、摄像效果一般,http://detail.zol.com.cn/386/385931/review.shtml
1511397,6.9,8.5,6.9,8.5,8.5,None,None,None,None,9.9,None,http://detail.zol.com.cn/1512/1511397/review.shtml
1363551,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1364/1363551/review.shtml
1419998,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1420/1419998/review.shtml
1794051,6.9,8.5,6.9,8.5,8.5,None,None,None,None,9.9,None,http://detail.zol.com.cn/1795/1794051/review.shtml
1794050,6.9,8.5,6.9,8.5,8.5,None,None,None,None,9.9,None,http://detail.zol.com.cn/1795/1794050/review.shtml
1982655,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1983/1982655/review.shtml
1363548,6.4,8,8,6.4,8,None,None,None,None,9.2,续航出色,http://detail.zol.com.cn/1364/1363548/review.shtml
1423543,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1424/1423543/review.shtml
1423542,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1424/1423542/review.shtml
1359445,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1360/1359445/review.shtml
1238177,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1239/1238177/review.shtml
1263464,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1264/1263464/review.shtml
