id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1422203,8,9.6,8,6.4,6.4,None,None,None,None,9.7,None,http://detail.zol.com.cn/1423/1422203/review.shtml
1396252,8.9,9.5,9.0,8.5,8.0,None,None,None,None,9.0,None,http://detail.zol.com.cn/1397/1396252/review.shtml
1425018,8,9.6,8,6.4,6.4,None,None,None,None,9.7,None,http://detail.zol.com.cn/1426/1425018/review.shtml
1331826,9.3,9.5,8.6,8.3,8.6,None,None,None,None,7.7,性能好、价格便宜、摄像效果出色、系统不足,http://detail.zol.com.cn/1332/1331826/review.shtml
1318767,7.8,7.8,7.8,6.2,7.8,None,None,None,None,6.8,外观漂亮,http://detail.zol.com.cn/1319/1318767/review.shtml
1332806,9.3,9.5,8.6,8.3,8.6,None,None,None,None,7.7,性能好、价格便宜、摄像效果出色、系统不足,http://detail.zol.com.cn/1333/1332806/review.shtml
1399435,8.9,9.5,9.0,8.5,8.0,None,None,None,None,9.0,None,http://detail.zol.com.cn/1400/1399435/review.shtml
1351061,8.8,5.6,10,7.2,7.2,None,None,None,None,8.0,性价比高,http://detail.zol.com.cn/1352/1351061/review.shtml
1349976,7.5,9.1,7.5,7.5,7.5,None,None,None,None,7.6,None,http://detail.zol.com.cn/1350/1349976/review.shtml
1425019,8,9.6,8,6.4,6.4,None,None,None,None,9.7,None,http://detail.zol.com.cn/1426/1425019/review.shtml
1332807,9.3,9.5,8.6,8.3,8.6,None,None,None,None,7.7,性能好、价格便宜、摄像效果出色、系统不足,http://detail.zol.com.cn/1333/1332807/review.shtml
1399434,8.9,9.5,9.0,8.5,8.0,None,None,None,None,9.0,None,http://detail.zol.com.cn/1400/1399434/review.shtml
1351064,8.8,5.6,10,7.2,7.2,None,None,None,None,8.0,性价比高,http://detail.zol.com.cn/1352/1351064/review.shtml
1332808,9.3,9.5,8.6,8.3,8.6,None,None,None,None,7.7,性能好、价格便宜、摄像效果出色、系统不足,http://detail.zol.com.cn/1333/1332808/review.shtml
1366269,7.8,7.8,7.8,6.2,7.8,None,None,None,None,6.8,外观漂亮,http://detail.zol.com.cn/1367/1366269/review.shtml
1366267,7.8,7.8,7.8,6.2,7.8,None,None,None,None,6.8,外观漂亮,http://detail.zol.com.cn/1367/1366267/review.shtml
1366266,7.8,7.8,7.8,6.2,7.8,None,None,None,None,6.8,外观漂亮,http://detail.zol.com.cn/1367/1366266/review.shtml
1371332,7.8,7.8,7.8,6.2,7.8,None,None,None,None,6.8,外观漂亮,http://detail.zol.com.cn/1372/1371332/review.shtml
1371329,7.8,7.8,7.8,6.2,7.8,None,None,None,None,6.8,外观漂亮,http://detail.zol.com.cn/1372/1371329/review.shtml
1366268,7.8,7.8,7.8,6.2,7.8,None,None,None,None,6.8,外观漂亮,http://detail.zol.com.cn/1367/1366268/review.shtml
1266028,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1267/1266028/review.shtml
1290005,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1291/1290005/review.shtml
1225610,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1226/1225610/review.shtml
302270,None,None,None,None,None,None,None,None,None,8.7,信号好、屏幕效果好,http://detail.zol.com.cn/303/302270/review.shtml
31044,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/32/31044/review.shtml
31045,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/32/31045/review.shtml
31047,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/32/31047/review.shtml
31075,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/32/31075/review.shtml
31076,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/32/31076/review.shtml
31077,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/32/31077/review.shtml
151067,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/152/151067/review.shtml
151071,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/152/151071/review.shtml
151100,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/152/151100/review.shtml
151101,None,None,None,None,None,None,None,None,None,7.0,屏幕大,http://detail.zol.com.cn/152/151101/review.shtml
360847,5.5,6.4,4.9,7.3,6.7,None,None,None,None,8.5,外观漂亮、手感舒适、机身轻薄、屏幕大、成像效果好、分辨率高、硬件配置强悍、续航一般、价格高、电池容量小、信号差、电池表现差、屏幕灵敏度差,http://detail.zol.com.cn/361/360847/review.shtml
360868,5.1,4.7,4.7,5.3,5.1,None,None,None,None,6.2,屏幕大、价格便宜、外观漂亮、价格合理、信号好、运行流畅、电池容量大、运行速度慢、续航一般、屏幕灵敏度差、价格高、成像效果差、运行内存小,http://detail.zol.com.cn/361/360868/review.shtml
361008,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/362/361008/review.shtml
361009,3,3.4,3.4,5,4.2,None,None,None,None,4.8,屏幕大、续航出色、外观漂亮、成像效果好、运行流畅、系统流畅、运行速度慢、运行内存小、信号差、机身内存小、游戏运行不够流畅、续航一般,http://detail.zol.com.cn/362/361009/review.shtml
392545,6.3,5.8,5.5,6.3,5.2,None,None,None,None,7.3,性价比高、外观漂亮、运行流畅、价格便宜、音色音质好、手感舒适、续航出色、续航一般、信号差、机身内存小、运行速度慢、电池容量小、运行内存小,http://detail.zol.com.cn/393/392545/review.shtml
392808,4.6,5.5,4.9,6.3,6,None,None,None,None,6.8,外观漂亮、手感舒适、运行流畅、屏幕大、游戏运行流畅、屏幕效果好、摄像效果出色、价格高、运行速度慢、机身内存小、电池容量小、续航一般、信号差,http://detail.zol.com.cn/393/392808/review.shtml
392809,4.6,4.6,4.3,5.5,4.8,None,None,None,None,6.0,外观漂亮、续航出色、软件不错、价格合理、手感舒适、机身内存大、运行流畅、续航一般、音质一般、电池容量小、屏幕灵敏度差、手感一般,http://detail.zol.com.cn/393/392809/review.shtml
304248,7.2,7.2,7.2,5.6,1.6,None,None,None,None,7.2,续航出色、运行流畅、外观漂亮、性能好、摄像效果一般、相机像素低,http://detail.zol.com.cn/305/304248/review.shtml
333115,6.1,5.8,6.1,5.5,4.2,None,None,None,None,6.9,运行流畅、音色音质好、价格便宜、外观漂亮、续航出色、性价比高、性价比高、机身内存小、信号差、内存不足、运行内存小、分辨率低、系统不足,http://detail.zol.com.cn/334/333115/review.shtml
333168,3.4,5.3,6.9,5.6,4.8,None,None,None,None,6.6,续航出色、电池容量大、屏幕效果好、外观漂亮、屏幕大、运行流畅、手感舒适、机身内存小、运行速度慢、价格高、信号差、摄像效果一般、运行内存小,http://detail.zol.com.cn/334/333168/review.shtml
123210,None,None,None,None,None,None,None,None,None,8.5,屏幕效果好、系统流畅、音乐播放效果出色、外观漂亮、性价比高、屏幕大、音色音质好、续航一般、耳机一般、相机像素低、外观不是很满意、功能一般、手感一般,http://detail.zol.com.cn/124/123210/review.shtml
1140922,6.3,5.8,5.5,6.3,5.2,None,None,None,None,7.3,性价比高、外观漂亮、运行流畅、价格便宜、音色音质好、手感舒适、续航出色、信号差、机身内存小、续航一般、运行速度慢、电池容量小、运行内存小,http://detail.zol.com.cn/1141/1140922/review.shtml
1141183,5.5,5.8,6.8,5.7,6.8,None,None,None,None,7.9,音乐播放效果出色、音色音质好、外观漂亮、系统流畅、游戏运行流畅、视频流畅效果好、摄像效果出色、价格高、性能差、信号差、机身内存小、运行内存小、续航一般,http://detail.zol.com.cn/1142/1141183/review.shtml
1233434,5.5,6.6,6.6,6.6,5,None,None,None,None,7.7,摄像效果出色、屏幕效果好、续航一般,http://detail.zol.com.cn/1234/1233434/review.shtml
243357,4.2,7.4,2.6,7.4,7.4,None,None,None,None,7.4,屏幕效果好、外观漂亮、分辨率高、屏幕大、性价比高、硬件配置强悍、手感舒适、信号差、续航一般、相机像素低、摄像效果一般、音质一般、外观不是很满意,http://detail.zol.com.cn/244/243357/review.shtml
181279,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/182/181279/review.shtml
122610,None,None,None,None,None,None,None,None,None,6.8,成像效果好,http://detail.zol.com.cn/123/122610/review.shtml
242982,None,None,None,None,None,None,None,None,None,8.0,机身小巧、机身轻薄、运行速度慢,http://detail.zol.com.cn/243/242982/review.shtml
242990,None,None,None,None,None,None,None,None,None,6.3,屏幕大、续航一般,http://detail.zol.com.cn/243/242990/review.shtml
331829,None,None,None,None,None,None,None,None,None,5.8,外观漂亮、屏幕大、运行流畅、屏幕材质质量好、机身轻薄、价格便宜、续航一般、音乐效果一般、内存不足、运行速度慢、通话效果一般、屏幕灵敏度差,http://detail.zol.com.cn/332/331829/review.shtml
331973,4.3,4.7,4.5,5.8,4.7,None,None,None,None,5.9,外观漂亮、屏幕大、屏幕效果好、运行流畅、机身轻薄、分辨率高、手感舒适、机身内存小、运行速度慢、续航一般、游戏性能低、电池表现差、听筒声音小,http://detail.zol.com.cn/332/331973/review.shtml
331975,6.3,5.5,5.1,6.3,5.1,None,None,None,None,7.0,外观漂亮、价格实惠、硬件配置强悍、游戏运行流畅、屏幕大小适中、性能不错、屏幕效果好、运行速度慢、音质一般、续航一般、机身内存小、相机像素低、信号差,http://detail.zol.com.cn/332/331975/review.shtml
331995,6,7.6,7.6,6,4.4,None,None,None,None,7.9,运行流畅、续航出色、屏幕效果好、屏幕材质质量好、价格便宜、外观不是很满意、价格高、机身内存小、功能一般,http://detail.zol.com.cn/332/331995/review.shtml
121999,None,None,None,None,None,None,None,None,None,7.6,系统流畅,http://detail.zol.com.cn/122/121999/review.shtml
242337,None,None,None,None,None,None,None,None,None,6.9,外观漂亮、分辨率高、网速快、外观稳重、分辨率低、性价比低、游戏性能低、外观不是很满意、配置低,http://detail.zol.com.cn/243/242337/review.shtml
210242,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/211/210242/review.shtml
210249,None,None,None,None,None,None,None,None,None,7.8,处理器不错、信号好、运行流畅、系统流畅、价格便宜、外观漂亮、续航出色、屏幕尺寸小、做工用料稍差、续航一般、系统不足、价格高,http://detail.zol.com.cn/211/210249/review.shtml
330356,2.3,3.9,4.4,2.8,2.8,None,None,None,None,3.9,屏幕大、续航出色、音色音质好、分辨率低、运行速度慢、机身内存小、性价比低、系统不足,http://detail.zol.com.cn/331/330356/review.shtml
840570,6.5,6,5.2,5.9,5.6,None,None,None,None,7.3,运行流畅、性价比高、屏幕大、音色音质好、价格便宜、外观漂亮、系统强悍、续航一般、音质一般、外观不是很满意、摄像效果一般、系统不足、电池表现差,http://detail.zol.com.cn/841/840570/review.shtml
390058,None,None,None,None,None,None,None,None,None,8.5,分辨率高,http://detail.zol.com.cn/391/390058/review.shtml
390214,4.6,5.5,4.9,6.3,6,None,None,None,None,6.8,外观漂亮、手感舒适、运行流畅、屏幕大、屏幕效果好、摄像效果出色、游戏运行流畅、价格高、机身内存小、运行速度慢、电池容量小、续航一般、信号差,http://detail.zol.com.cn/391/390214/review.shtml
211535,None,None,None,None,None,None,None,None,None,6.3,价格便宜、外观不是很满意,http://detail.zol.com.cn/212/211535/review.shtml
390851,3.1,3.2,3.1,4.1,2.4,None,None,None,None,4.0,屏幕大、外观漂亮、音色音质好、性价比高、手感舒适、价格实惠、音乐播放效果出色、运行速度慢、分辨率低、机身内存小、运行内存小、信号差、成像效果差,http://detail.zol.com.cn/391/390851/review.shtml
391122,5.2,5,4.8,7,5.2,None,None,None,None,6.7,外观漂亮、机身轻薄、分辨率高、电池容量大、电池表现差、价格高、屏幕灵敏度差、手感一般、运行速度慢、电池容量小,http://detail.zol.com.cn/392/391122/review.shtml
211535,None,None,None,None,None,None,None,None,None,6.3,价格便宜、外观不是很满意,http://detail.zol.com.cn/212/211535/review.shtml
302270,None,None,None,None,None,None,None,None,None,8.7,信号好、屏幕效果好,http://detail.zol.com.cn/303/302270/review.shtml
121999,None,None,None,None,None,None,None,None,None,7.6,系统流畅,http://detail.zol.com.cn/122/121999/review.shtml
271795,None,None,None,None,None,None,None,None,None,5.0,界面漂亮、运行速度慢,http://detail.zol.com.cn/272/271795/review.shtml
270059,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/271/270059/review.shtml
1110172,5.6,4.6,5.6,5.4,4,None,None,None,None,6.0,机身内存大、运行内存大、运行流畅、性价比高、电池容量大、性能差,http://detail.zol.com.cn/1111/1110172/review.shtml
1110225,6,6.8,7,6.5,6.7,None,None,None,None,8.3,音色音质好、外观漂亮、性价比高、手感舒适、屏幕效果好、续航出色、性能好、价格高、性价比低、外观不是很满意、续航一般、系统不足、信号差,http://detail.zol.com.cn/1111/1110225/review.shtml
214787,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/215/214787/review.shtml
182317,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/183/182317/review.shtml
182320,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/183/182320/review.shtml
334461,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/335/334461/review.shtml
82171,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/83/82171/review.shtml
326064,6.1,6.1,5.6,7.7,6.1,None,None,None,None,7.9,系统流畅、屏幕效果好、屏幕大小适中、屏幕大、运行流畅、游戏运行流畅、相机像素高、电池容量小、屏幕一般、性能差、机身内存小、耳机一般、系统不足,http://detail.zol.com.cn/327/326064/review.shtml
326071,None,None,None,None,None,None,None,None,None,5.9,屏幕大、屏幕效果好、屏幕材质质量好、网络体验好、机身内存小、续航一般、扬声器声音小,http://detail.zol.com.cn/327/326071/review.shtml
355564,None,None,None,None,None,None,None,None,None,6.0,相机像素低,http://detail.zol.com.cn/356/355564/review.shtml
355620,5.1,4.5,8,6.4,4.8,None,None,None,None,7.3,屏幕大、外观漂亮、信号好、续航出色、音色音质好、游戏性能低、相机像素低、运行速度慢、听筒声音小,http://detail.zol.com.cn/356/355620/review.shtml
235898,None,None,None,None,None,None,None,None,None,6.0,外观不是很满意,http://detail.zol.com.cn/236/235898/review.shtml
203962,None,None,None,None,None,None,None,None,None,7.5,外观漂亮、屏幕大、视频流畅效果好、系统流畅、电池容量大、屏幕效果好、多媒体娱乐功能强、运行速度慢、耳机音质欠佳、续航一般、手感一般,http://detail.zol.com.cn/204/203962/review.shtml
203963,None,None,None,None,None,None,None,None,None,7.2,视频流畅效果好、外观漂亮、屏幕大、屏幕效果好、系统流畅、续航出色、价格便宜、屏幕灵敏度差、续航一般、运行速度慢、屏幕质量一般、网速慢、音乐效果一般,http://detail.zol.com.cn/204/203963/review.shtml
327598,4.6,6.4,5.9,6.2,5.9,None,None,None,None,7.3,运行流畅、性价比高、拍照清晰、价格便宜、续航出色、屏幕效果好、屏幕大、外观不是很满意、续航一般、运行速度慢、电池表现差、信号差、运行内存小,http://detail.zol.com.cn/328/327598/review.shtml
386206,3.6,5.2,2.9,6.1,4.2,None,None,None,None,5.5,网速快、价格高、信号差、屏幕灵敏度差,http://detail.zol.com.cn/387/386206/review.shtml
386209,5,6.6,6.1,6.6,5.5,None,None,None,None,7.4,性能不错、屏幕大、信号好、手感舒适、价格高、相机像素低、网络体验差,http://detail.zol.com.cn/387/386209/review.shtml
386211,4,5.6,4.5,3.4,6.1,None,None,None,None,5.9,系统强悍、屏幕效果好、外观简约、电池容量小、外观不是很满意、运行速度慢、运行内存小、信号差、摄像效果一般,http://detail.zol.com.cn/387/386211/review.shtml
386215,6.5,5.9,6.9,6.3,6.1,None,None,None,None,7.9,屏幕大、外观漂亮、手感舒适、信号好、电池容量大、运行速度慢、音质一般、屏幕一般、摄像效果一般、手感一般、价格高,http://detail.zol.com.cn/387/386215/review.shtml
386265,5.5,5,6.2,5.7,4,None,None,None,None,6.6,价格便宜、网速快、运行流畅、外观漂亮、续航出色、价格实惠、电池容量大、机身内存小、续航一般、分辨率低、屏幕一般、外观不是很满意、运行速度慢,http://detail.zol.com.cn/387/386265/review.shtml
386299,7.3,6.5,6.5,7.3,6.5,None,None,None,None,8.5,屏幕大、运行流畅、外观漂亮、机身内存小,http://detail.zol.com.cn/387/386299/review.shtml
296297,None,None,None,None,None,None,None,None,None,5.8,外观漂亮、价格便宜、游戏运行流畅、性价比高、分辨率低、续航一般,http://detail.zol.com.cn/297/296297/review.shtml
296427,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/297/296427/review.shtml
296428,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/297/296428/review.shtml
296429,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/297/296429/review.shtml
168588,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/169/168588/review.shtml
350035,4.7,4.7,6.3,4.7,3.1,None,None,None,None,5.9,价格合理、运行流畅、续航出色、外观漂亮、运行内存大、软件不错、机身内存小、相机像素低、续航一般、运行速度慢,http://detail.zol.com.cn/351/350035/review.shtml
